Gene,log2FoldChange
LDLRAP1,1.559386870661771
CDC42BPA,1.556545123897423
FBXL16,1.5534953410150507
FAM20A,1.5503609012291077
ARMCX2,1.5500377795447617
IL23A,1.5463790149688714
PCSK5,1.5457383327545164
HBE1,1.5456003874739699
SH2D1B,1.545250396113303
FAM153A,1.54343718321382
YPEL4,1.5413952232681754
NECAB1,1.539484323816793
SNRPN,1.5370468541812528
CELF5,1.536702436488541
CNRIP1,1.5354685821054106
GPR155,1.5349431622174805
CERNA1,1.5329102453645258
CHI3L2,1.5302804479935772
FAM19A2,1.5280483540847773
MS4A2,1.5251124786962853
DENND2D,1.5229960200908965
SLC22A23,1.5226594614244293
PKHD1L1,1.5163546077704364
OXNAD1,1.514880081722562
EPPK1,1.5118452940118647
FCRL3,1.5105718366879402
KLF12,1.5096905677381696
PXYLP1,1.5088709267151603
C1orf198,1.5084191750176632
BACH2,1.5038039233564187
FANK1,1.5031871415447975
TSPAN17,1.502230910096154
ALAS2,1.5002989434549157
GBP5,1.4951508980418193
AMIGO2,1.4934394334923768
TMEM45B,1.4900469155376082
HIST1H3G,1.4872621334082043
MT1L,1.4831592934773874
ZFP36L1,1.480540420938576
NKX3-1,1.4804607721095555
HP,1.480358390838987
EPB42,1.4785323468484595
LOX,1.4776677452347837
MAP7D2,1.4733047215595423
FAM124A,1.4730123873703367
MSX2P1,1.471853885003126
PRF1,1.4712189735114465
TPM1,1.46497934262757
ISG20,1.4643995773688017
QPCT,1.4621181777143595
IPP,1.4596809078272468
HEMGN,1.4591414502411562
GRTP1,1.4575935841230852
SEC14L4,1.455652165688556
DMTN,1.4539216215704556
RGS1,1.4532118550283772
REREP3,1.4523787178304306
CSGALNACT1,1.452013146189764
CNOT9,1.4499438621338483
MZB1,1.4491888106897899
WLS,1.4487008125361902
SLC4A4,1.4479329794814262
SEC11C,1.4476012337993758
LEPR,1.4468297266554644
ITPR3,1.443550447811468
NFIA,1.443309389706185
POU2AF1,1.4414752944959335
MYO5B,1.4401668951423294
DENND2C,1.4397762956403148
HIST3H2BB,1.4386082022926625
LTBP1,1.4384984077763006
ZDBF2,1.4352684387662415
SUN3,1.434972429806311
VWDE,1.4347814591616408
AFAP1,1.4344786438260249
ANKRD20A9P,1.4328707303387584
PVRIG,1.4316174255374539
HDX,1.4289450269110864
PRDM1,1.4282793736639032
MYL9,1.4279131362670845
MYO1D,1.4256545975238122
ZAP70,1.425467489488774
NRG1,1.4252799377544791
LOC102724428,1.4250053300953305
SLC9A9,1.424545097997942
CDC25B,1.420503090759013
BAG3,1.4195829950454086
STK33,1.4171001111586816
MCUB,1.4169529028436532
SLAMF6,1.4141652986732833
FKBP11,1.4135292513588278
SH2D2A,1.4123276603953745
CCL4L1,1.4119646638267807
SPATA17,1.4092808766733937
PATJ,1.4064839422449698
ENO2,1.4059866356535804
UGCG,1.4056644302222954
PTPN13,1.4047322704910834
MAN1C1,1.4026169040996457
DNAH6,1.401939095114228
PTPN4,1.4004588257943371
CADM1,1.3985533780164163
ARL4C,1.393483259263707
UBXN10,1.3927632842077513
LOC101927056,1.386249487958797
ABCG2,1.3796127652049215
CPNE5,1.377605786730959
LCA5,1.3763861243100437
RCAN3,1.3750745080128686
FAM111B,1.3745839345133657
EPSTI1,1.3736702814867736
ANKRD1,1.3735521324362292
IRF6,1.3697801680689379
