Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
ATP8B4,87.36449883474529,-1.8176492475425903,0.3555160446530899,-5.112706655240384,3.1757526090587953e-07,0.0001373247406447189,3.862251212526329
KCNQ5,19.62780713778099,-1.6356848727273594,0.32012758394667246,-5.109478079214303,3.2304996761367485e-07,0.0001373247406447189,3.862251212526329
CLEC11A,92.56368098411198,-2.3638019089090014,0.46180515838180913,-5.1186130470952165,3.0779072603917815e-07,0.0001373247406447189,3.862251212526329
GATA3,29.257982397302104,2.5833566898942206,0.5062915371185025,5.102508141054628,3.3518132336232845e-07,0.0001384107333301638,3.8588302303610655
CCL5,267.76052032198345,1.7653768278188973,0.34925899906410973,5.0546351920766,4.312142162450479e-07,0.00017312052964971327,3.7616514278790008
IL18R1,15.582853251186505,2.096426794534839,0.41733275244788415,5.023393879915134,5.076628060828432e-07,0.00019830406854906305,3.7026683754049783
SYNE1,123.45150910414112,1.80566233042672,0.3606712054080094,5.006394476054899,5.545904267125638e-07,0.0002109340904546496,3.675853225381972
AK1,15.66521256916946,1.7670414762295403,0.3538209431833905,4.994168689764803,5.908973368259583e-07,0.00021898049254219425,3.6595945717289453
FLT3LG,19.70008380646749,2.716985994133295,0.5454742576256199,4.980960982393541,6.32692966987306e-07,0.00022303198663091548,3.6516328471710997
HSH2D,97.36190194907184,-1.3204940842544892,0.264887179010781,-4.985118906795956,6.192371858916923e-07,0.00022303198663091548,3.6516328471710997
TCF7,83.72492960166674,2.5072512959566944,0.5053637802379823,4.961280158969837,7.003009942953141e-07,0.0002353825644313994,3.628225709936395
SLFN5,172.70809556862736,2.5494076188396595,0.5138417920404256,4.961464128318877,6.996379235912137e-07,0.0002353825644313994,3.628225709936395
HOXA5,25.049997317407293,-2.9753403008189103,0.6024875216602004,-4.938426430177563,7.875547883304308e-07,0.00024744629034216775,3.6065190526469357
ICOS,14.003611685925184,3.180446598513726,0.643278434977132,4.944121278722469,7.648807814448967e-07,0.00024744629034216775,3.6065190526469357
SAMD3,32.755159105401525,2.8260550095932335,0.5718723099125941,4.941758781825216,7.742096678407148e-07,0.00024744629034216775,3.6065190526469357
SYNE2,405.5501647551283,2.284725890873818,0.4652645656132944,4.910595088758108,9.080041141311621e-07,0.0002747004222636694,3.561140672990648
PCDH9,12.58019408914396,3.209167000148334,0.6536424539287655,4.90966732784782,9.123102655958023e-07,0.0002747004222636694,3.561140672990648
CD2,166.7163522391123,2.34977587642029,0.4795744877126142,4.899709923327692,9.597825304743667e-07,0.00028309667169277593,3.548065236512532
SLC25A21,6.571890367098689,4.443447618833689,0.9097754961585647,4.884114418992046,1.0389473434853886e-06,0.00030031811910788647,3.522418464700166
HCN3,7.015994220817616,3.9973149862379875,0.8226230455007604,4.859230492144404,1.1784287733830885e-06,0.0003339574717981525,3.4763088354021017
HOXA3,12.45873019421471,-3.301880851133228,0.6813575670906722,-4.846032407377415,1.2595495068675519e-06,0.00035008209659147553,3.4558300987475183
ZFP36L1,157.66682412550816,1.480540420938576,0.306054224501522,4.837510161311998,1.31475665632905e-06,0.0003518921843319215,3.453590378914206
SERPINB1,847.2161647747741,-1.1487712986499317,0.23739581946212635,-4.839054458721015,1.3045829901789263e-06,0.0003518921843319215,3.453590378914206
IKZF3,91.56393142737635,1.8716675076589184,0.38893385799825997,4.8123028354792705,1.4920103992218561e-06,0.0003920732054536998,3.4066328366623666
ITK,30.43603874575143,2.6199147648448484,0.5463769533554242,4.795068219395712,1.6261948027613382e-06,0.00041234023656683543,3.384744284247079
TMCO3,46.21551209210026,-1.0536965205357094,0.21971587960670366,-4.79572310577574,1.6208905108151791e-06,0.00041234023656683543,3.384744284247079
OPTN,95.32943460917778,1.9160781616489706,0.40049711720350717,4.784249572201893,1.7162732810738451e-06,0.0004268073785104008,3.3697680812376034
AMMECR1,33.0389243236266,1.3479412171666965,0.2819238866624201,4.781223872600557,1.7423119997311038e-06,0.0004268073785104008,3.3697680812376034
GRAP2,15.45410328446599,2.5093286481865684,0.5259934367934938,4.770646309740433,1.836357426103411e-06,0.00044234789799120993,3.3542360321270914
CLUHP3,6.280552752809093,1.956731340212328,0.41087423081481195,4.762360823485814,1.913411585663235e-06,0.00045335307619001207,3.343563433054564
GABPB2,24.423806463470417,0.8669404536377304,0.1822371183687605,4.757211162017273,1.9628581591671664e-06,0.0004535404347631182,3.3433839879607086
TTC39B,11.448918427109648,1.9949055370038233,0.41947100503073276,4.755765030428421,1.976963079642735e-06,0.0004535404347631182,3.3433839879607086
