Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD40LG,14.699251900302569,2.699925738494947,0.5999655198681776,4.500134839562389,6.791037075649014e-06,0.0009437582582149538
EOMES,8.443944957703367,2.6963643428192605,0.599085429338675,4.500801072387543,6.769784086149132e-06,0.0009437582582149538
EPHA4,5.826000321313767,2.6914141399264304,0.6936238554210512,3.8802214181238885,0.00010436141630483538,0.004995619866139715
HOOK1,24.47848459715082,2.669045839246405,0.4802265777831758,5.5578886357503725,2.7305750438479158e-08,2.818928650623852e-05
RGMB,2.5257770947735176,2.6668746752064605,0.822401628452492,3.242788660602122,0.001183659761532297,0.02568059086679693
ZNF831,4.862163824067156,2.66387357395742,0.743451725374683,3.5831157330556835,0.0003395200874193001,0.011152463235161694
SMIM1,31.628120995128036,2.6476569624161903,0.5812770434257913,4.554896829938551,5.2411295277647434e-06,0.0007890629694248316
UBASH3A,8.49931277423558,2.6381286536271453,0.5572341692915513,4.734326785776926,2.197833745207096e-06,0.00048037205492037854
MAL,27.839760028894382,2.6371710023151866,0.7384532965489954,3.5712089236238027,0.0003553373023955784,0.011457125968940338
IL32,199.53053087203068,2.623994620201957,0.5741427617645761,4.570282506283535,4.870671783465132e-06,0.0007640535019396843
ITK,30.43603874575143,2.6199147648448484,0.5463769533554242,4.795068219395712,1.6261948027613382e-06,0.00041234023656683543
TIGIT,18.96663910741452,2.6086308347859393,0.6513222464277021,4.005130868926188,6.198315574778066e-05,0.0035549307540582295
KLRC2,3.086770082891896,2.602680720615756,0.696648986424327,3.736000154072527,0.00018697055278938017,0.007563986097964182
GATA3,29.257982397302104,2.5833566898942206,0.5062915371185025,5.102508141054628,3.3518132336232845e-07,0.0001384107333301638
GIMAP5,38.77632747559538,2.5793582097629755,0.6298130518189269,4.095434672739283,4.213770380535085e-05,0.0028727180806544144
TRIB2,44.89334047522809,2.572825647210649,0.44208464421969057,5.819758005283946,5.893288904561013e-09,1.2167957791088618e-05
LCK,38.646980580533786,2.571541939418545,0.5837922306626964,4.404892364702146,1.0583641510443405e-05,0.0012335916996003107
HAPLN3,4.928325021620275,2.5700529813158752,0.6726793523176251,3.8206211807469748,0.0001331159801573115,0.005901611230716634
SEMA3C,3.4300844635019914,2.5672361328916518,0.7353830657827387,3.4910188340536457,0.00048118233156285776,0.014090023726122922
ZNF683,3.052821924349212,2.567115842779027,0.8652873347460236,2.9667784788881932,0.003009376952670408,0.046667945382988636
