Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KIF26B,4.413000897804717,-1.9781837191922491,0.6725496014426863,-2.9413201865689116,0.0032681652522335036,0.049202908740136275
C1orf186,34.83160043422811,-1.9447741120171178,0.5025280934395416,-3.8699808774991213,0.00010884389032689133,0.0051747392989952646
HOXB3,26.488940227105026,-1.9403025934198403,0.5595108738588502,-3.4678550213651924,0.0005246302441150578,0.014867609643519472
COL24A1,26.538482405829566,-1.9362056503578429,0.5218751332263468,-3.710093712240692,0.0002071825421934113,0.008058591034659512
TMEM217,4.6744331255905465,-1.930562702746939,0.6256001012821506,-3.085937324483009,0.002029115883944069,0.03656709709556563
ADGRG3,2.739017750668393,-1.9271683859082538,0.5436004801548452,-3.5451925748102684,0.00039232634071129736,0.01217434471645904
C19orf81,3.6680105667847767,-1.9267951738346762,0.5374759677259324,-3.5848954921407383,0.000337213208753759,0.011127265995703376
NPM2,6.496218172901041,-1.9019479209942316,0.5356817892547885,-3.5505181604924796,0.00038447360902003186,0.01212694873054685
SMYD3,49.21034351703932,-1.9018108445156527,0.37155858107897966,-5.118468369087129,3.0802688387477487e-07,0.0001373247406447189
STAR,7.256389971139939,-1.8929199026129153,0.454252219081365,-4.167112064836955,3.08482867023583e-05,0.0023101051176641686
MIR181A1HG,20.715627205915265,-1.8790206813849766,0.4842629206917515,-3.880166333405964,0.00010438505497641971,0.004995619866139715
SLC2A5,9.251311311344509,-1.8542595553388523,0.46520136593827505,-3.9859288710362115,6.721664737086018e-05,0.003770448821741182
CPXM1,38.2566898799647,-1.8528268178191896,0.3925996623478828,-4.719379549994108,2.3656507001973e-06,0.000502805140734582
GTSF1,45.73310781893949,-1.848715905957291,0.494907552092675,-3.735477258611535,0.00018735951173259372,0.007563986097964182
ZBTB16,13.333269275436788,-1.8370939010306084,0.4973945932391044,-3.693433595783966,0.00022124630368878544,0.008459451923846603
ULK4P3,2.597242988142324,-1.8364080167853973,0.5400207912239993,-3.4006246548823342,0.0006723207415918703,0.01776426266586344
HOXA10-AS,3.248310090694545,-1.8324789990138246,0.6056988338327863,-3.025396280554359,0.0024830755344411844,0.04128086193767046
LAMB2,2.395128725042104,-1.828255242346815,0.6142017611287758,-2.9766362750032824,0.002914295312505146,0.04558604778550354
CKM,1.8131466740925488,-1.8206743531892926,0.5930118327370374,-3.0702158922967806,0.002139040880525567,0.037564468828962354
ATP8B4,87.36449883474529,-1.8176492475425903,0.3555160446530899,-5.112706655240384,3.1757526090587953e-07,0.0001373247406447189
SPRY1,17.183432276083465,-1.8132049813300328,0.5497415484577706,-3.2982862336251406,0.0009727691701180433,0.022531142332878333
OLFML2A,6.278415125156707,-1.8130040803905259,0.4375564192566682,-4.14347499111201,3.420823911941414e-05,0.0024622992372719103
GOLGA8J,2.381128019865223,-1.7968540677544311,0.5904335258240053,-3.043279199376006,0.0023401510336871767,0.039497940277106826
MEST,27.850618994189535,-1.7965651804991347,0.45297311945476465,-3.9661628987204076,7.303895354541548e-05,0.0039986060439086745
MGST1,139.31812043011408,-1.7877853776198316,0.3773845500589267,-4.737304103574664,2.1658004452924562e-06,0.00048037205492037854
LINC00899,5.759300557381589,-1.782933831174401,0.5789984719824478,-3.079341168327729,0.0020745895803369755,0.036907318174682055
