,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,heme Metabolism,0.705425334322664,2.6367006268334197,0.001,0.001,0.001,91/183,14.09%,CTSE;HBQ1;AHSP;ADD2;PDZK1IP1;ANK1;ACSL6;HBB;XK;KLF1;GYPE;AQP3;GATA1;TSPO2;OPTN;EPOR;ACKR1;PRDX2;KEL;CA1;TRIM10;SPTA1;GYPA;BLVRB;RHCE;ELL2;CPOX;ALAS2;EPB42;DMTN;ABCG2;HBD;FN3K;TSPAN5;RHAG;SPTB;CDR2;TFRC;MYL4;MBOAT2;GCLM;GYPB;CA2;SLC2A1;SELENBP1;HBBP1;SLC6A8;UBAC1;HMBS;MFHAS1;SLC4A1;MINPP1;TMCC2;UROD;SLC25A37;FECH;SNCA;KAT2B;PPOX;RBM38;TRAK2;ARHGEF12;ALAD;DAAM1;TAL1;ABCB6;E2F2;OSBP2;EPB41;CAST;RHD;BPGM;HAGH;PPP2R5B;GLRX5;LPIN2;PIGQ;PC;ASNS;UCP2;BLVRA;FBXO7;SLC6A9;MOSPD1;KDM7A;LRP10;CDC27;ISCA1;SLC25A38;HEBP1;CLCN3
1,prerank,Allograft Rejection,0.5416541950837567,2.0058077683967643,0.001,0.001,0.001,55/167,13.80%,CD3E;CD8B;CD8A;SIT1;CD40LG;ITK;LCK;CCL2;IFNG;CD3G;CD2;CD247;CD28;GZMB;GZMA;ACHE;IL7;LTB;CD7;TRAT1;ETS1;APBB1;KLRD1;IL2RB;CCL5;STAT4;CXCR3;IL18RAP;CSF1;PRF1;ZAP70;TPD52;ACVR2A;CCR2;GPR65;FYB1;IRF4;IL15;CD3D;IL16;TAP1;STAT1;CCR5;IL4R;IL2RG;CRTAM;PTPRC;PF4;TAP2;IGSF6;MAP4K1;GBP2;HLA-G;HLA-E;FAS
2,prerank,Interferon Alpha Response,0.5544516965403375,1.8945715354765116,0.001,0.001,0.001,39/92,16.72%,IFI27;IL7;IFITM1;CSF1;OASL;ISG20;EPSTI1;IFIT2;IFIT3;LAMP3;RSAD2;GMPR;ISG15;IL15;SELL;MX1;IFI44L;TAP1;HERC6;IL4R;SAMD9;IFIH1;USP18;PARP9;TMEM140;CMPK2;DDX60;PARP12;RTP4;PSMB9;GBP2;HLA-C;OAS1;TRIM26;IFI44;SAMD9L;IRF2;UBE2L6;TRIM21
3,prerank,Interferon Gamma Response,0.5025462405734535,1.8887110298130463,0.001,0.001,0.002,84/190,19.13%,CCL2;XCL1;IFI27;KLRK1;GZMA;IL7;ZBP1;CD274;SLAMF7;IL2RB;CCL5;STAT4;OASL;ISG20;EPSTI1;IFIT2;SOCS3;SSPN;IFIT3;IFIT1;RSAD2;ARID5B;PELI1;ISG15;IRF4;IL15;APOL6;GCH1;MX1;VCAM1;NLRC5;CFH;FPR1;ST3GAL5;RNF213;IFI44L;TAP1;HERC6;STAT1;XAF1;IL4R;TNFAIP3;BPGM;BTG1;IFIH1;TNFSF10;USP18;UPP1;CMPK2;IL10RA;DDX60;PARP12;OAS2;C1R;RTP4;PSMB9;OAS3;MVP;ITGB7;IL18BP;HLA-G;DDX58;FAS;PIM1;TRIM26;GPR18;IFI44;SAMD9L;IRF2;UBE2L6;TRIM21;SECTM1;FGL2;MX2;LCP2;SAMHD1;RIPK1;B2M;NAMPT;ZNFX1;TNFAIP6;ISOC1;IRF9;GBP4
6,prerank,Pancreas Beta Cells,0.686292245348987,1.698934267707734,0.006956521739130435,0.005847052111227256,0.036,4/17,6.73%,PKLR;DPP4;STXBP1;FOXO1
5,prerank,Hedgehog Signaling,0.6366653615076631,1.7043855029572827,0.008710801393728223,0.006253097396729149,0.033,8/22,10.00%,NRCAM;ACHE;NRP2;RTN1;CDK5R1;PTCH1;VEGFA;TLE1
4,prerank,Complement,0.47440607615076874,1.719780970655728,0.001,0.006366790076669679,0.028,44/160,12.65%,APOC1;CD40LG;GATA3;LCK;DPP4;HPCAL4;GZMK;SPOCK2;DOCK9;F5;GZMB;GZMA;RASGRP1;CDK5R1;CCL5;PLA2G7;DUSP5;S100A12;GNGT2;FYN;OLR1;FCN1;GNG2;CA2;LGMN;GP9;DYRK2;CD59;CASP5;CFH;CTSL;APOBEC3G;CBLB;CALM1;TNFAIP3;EHD1;DOCK10;ANG;PRDM4;BRPF3;C1R;PSMB9;PIK3R5;CD36
7,prerank,Epithelial Mesenchymal Transition,0.4657026704086047,1.6460369106960653,0.001,0.008242719295688424,0.057,35/121,8.07%,FERMT2;PLOD2;TGFBR3;LUM;IL32;CXCL12;SDC1;TGM2;PFN2;COL1A2;FBLN5;CTHRC1;THBS1;PMEPA1;CDH2;LOX;TPM1;MYL9;ENO2;CADM1;IGFBP3;SERPINE2;TGFBI;ADAM12;ITGB3;SLC6A8;IL15;TIMP3;CD59;VCAM1;VEGFA;SGCB;CALD1;NID2;COL6A2
8,prerank,IL-2/STAT5 Signaling,0.4271028663766059,1.5852050638418083,0.001,0.016801251591211652,0.121,56/183,14.02%,ICOS;TIAM1;CTLA4;CCR4;FLT3LG;EOMES;TNFRSF8;IL18R1;LRIG1;NCS1;GATA1;TTC39B;LTB;RORA;TGM2;PTCH1;IL2RB;ADAM19;TRAF1;CD48;CSF1;WLS;IRF6;PRKCH;BATF3;CISH;CA2;GPR65;GALM;IRF4;ITIH5;GABARAPL1;SELL;BCL2;RHOH;CKAP4;SH3BGRL2;ABCB1;SMPDL3A;RGS16;IL4R;SCN9A;BATF;CCNE1;TNFSF10;PRAF2;RABGAP1L;IGF1R;IL10RA;IGF2R;TNFRSF18;ITGA6;MYO1E;PDCD2L;PIM1;IKZF2
10,prerank,Estrogen Response Early,0.4278185442106293,1.5624090742284436,0.001,0.018190828790484795,0.162,26/143,6.93%,KRT13;TIAM1;CXCL12;BCL11B;FCMR;MYBL1;FAM102A;LRIG1;AQP3;SEC14L2;RASGRP1;TGM2;RETREG1;BLVRB;UGCG;FHL2;CLIC3;ABLIM1;TPD52L1;CISH;IL6ST;MAPT;SLC2A1;PRSS23;SH3BP5;BCL2
